City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,alofi,-19.0595,-169.9187,25.94,78,34,4.12,NU,1681327288
263,severo-kurilsk,50.6789,156.125,-0.76,95,100,10.46,RU,1681327289
264,esfarayen,37.0765,57.5101,18.81,23,18,6.72,IR,1681327289
265,pafos,34.7667,32.4167,15.88,67,40,9.77,CY,1681327180
266,vilyuysk,63.7553,121.6247,-18.62,100,81,1.72,RU,1681327290
267,ambilobe,-13.2,49.05,24.67,86,90,0.99,MG,1681327291
268,narrabri,-30.3167,149.7833,9.18,94,20,2.1,AU,1681327291
269,deputatskiy,69.3,139.9,-27.31,98,11,2.36,RU,1681327292
270,bima,-8.4667,118.7167,25.08,94,96,0.49,ID,1681327292
271,maumere,-8.6199,122.2111,26.49,86,100,2.69,ID,1681327293
272,mandera,3.9366,41.867,30.49,50,100,6.25,KE,1681327293
273,kudahuvadhoo,2.6708,72.8944,28.5,75,15,5.35,MV,1681327293
274,provideniya,64.3833,-173.3,-15.73,86,50,2.27,RU,1681327294
275,yulara,-25.2406,130.9889,25.72,45,100,2.97,AU,1681327294
276,kalangala,-0.3089,32.225,22.64,69,72,3.86,UG,1681327295
277,kidal,18.4411,1.4078,32.1,10,100,2.42,ML,1681327295
278,jibuti,11.5,42.5,24.92,73,78,9.31,DJ,1681327295
279,alyangula,-13.8483,136.4192,27.49,78,39,2.91,AU,1681327296
280,camana,-16.6228,-72.7111,24.23,72,75,4.08,PE,1681327296
281,kloulklubed,7.0419,134.2556,28.18,78,42,3.63,PW,1681327297
282,tagusao,9.1924,117.8141,26.24,82,13,0.99,PH,1681327297
283,fortuna,40.5982,-124.1573,12.03,65,6,4.47,US,1681327297
284,muret,43.3333,1.25,9.11,86,100,5.57,FR,1681327298
285,saint anthony,45.0205,-93.218,29.8,36,0,7.2,US,1681327298
286,richards bay,-28.783,32.0377,21.33,79,100,3.92,ZA,1681327298
287,sembakung,3.8167,117.25,23.08,99,22,0.38,ID,1681327102
288,longyearbyen,78.2186,15.6401,-0.09,80,75,3.6,SJ,1681327299
289,souillac,-20.5167,57.5167,24.21,88,20,2.06,MU,1681327299
290,komatipoort,-25.4332,31.9548,19.47,78,1,1.43,ZA,1681327299
291,anloga,5.7947,0.8973,28.53,80,14,4.32,GH,1681327300
292,skotterud,59.9828,12.1283,4.52,97,100,2.3,NO,1681327300
